start training

| epoch   1 |  1000/163125 batches | lr 0.05 | ms/batches 16.23 | loss  5.42 | ppl   225.17
| epoch   1 |  2000/163125 batches | lr 0.05 | ms/batches 16.13 | loss  5.16 | ppl   174.16
| epoch   1 |  3000/163125 batches | lr 0.05 | ms/batches 16.06 | loss  5.04 | ppl   154.45
| epoch   1 |  4000/163125 batches | lr 0.05 | ms/batches 16.50 | loss  4.98 | ppl   145.53
| epoch   1 |  5000/163125 batches | lr 0.05 | ms/batches 16.52 | loss  4.94 | ppl   139.56
| epoch   1 |  6000/163125 batches | lr 0.05 | ms/batches 16.37 | loss  4.90 | ppl   134.44
| epoch   1 |  7000/163125 batches | lr 0.05 | ms/batches 16.18 | loss  4.88 | ppl   131.02
| epoch   1 |  8000/163125 batches | lr 0.05 | ms/batches 17.04 | loss  4.85 | ppl   128.23
| epoch   1 |  9000/163125 batches | lr 0.05 | ms/batches 16.08 | loss  4.84 | ppl   126.55
| epoch   1 | 10000/163125 batches | lr 0.05 | ms/batches 16.03 | loss  4.83 | ppl   124.84
| epoch   1 | 11000/163125 batches | lr 0.05 | ms/batches 16.04 | loss  4.82 | ppl   123.67
| epoch   1 | 12000/163125 batches | lr 0.05 | ms/batches 16.92 | loss  4.81 | ppl   122.62
| epoch   1 | 13000/163125 batches | lr 0.05 | ms/batches 16.09 | loss  4.79 | ppl   120.90
| epoch   1 | 14000/163125 batches | lr 0.05 | ms/batches 16.29 | loss  4.79 | ppl   119.74
| epoch   1 | 15000/163125 batches | lr 0.05 | ms/batches 16.26 | loss  4.78 | ppl   118.89
| epoch   1 | 16000/163125 batches | lr 0.05 | ms/batches 16.82 | loss  4.77 | ppl   117.83
| epoch   1 | 17000/163125 batches | lr 0.05 | ms/batches 15.74 | loss  4.76 | ppl   116.80
| epoch   1 | 18000/163125 batches | lr 0.05 | ms/batches 15.89 | loss  4.75 | ppl   116.12
| epoch   1 | 19000/163125 batches | lr 0.05 | ms/batches 16.83 | loss  4.75 | ppl   115.20
| epoch   1 | 20000/163125 batches | lr 0.05 | ms/batches 20.98 | loss  4.74 | ppl   114.05
| epoch   1 | 21000/163125 batches | lr 0.05 | ms/batches 17.54 | loss  4.73 | ppl   113.63
| epoch   1 | 22000/163125 batches | lr 0.05 | ms/batches 16.15 | loss  4.73 | ppl   113.06
| epoch   1 | 23000/163125 batches | lr 0.05 | ms/batches 17.26 | loss  4.72 | ppl   112.62
| epoch   1 | 24000/163125 batches | lr 0.05 | ms/batches 18.37 | loss  4.72 | ppl   112.07
| epoch   1 | 25000/163125 batches | lr 0.05 | ms/batches 17.40 | loss  4.71 | ppl   111.38
| epoch   1 | 26000/163125 batches | lr 0.05 | ms/batches 16.31 | loss  4.71 | ppl   110.86
| epoch   1 | 27000/163125 batches | lr 0.05 | ms/batches 16.78 | loss  4.70 | ppl   110.24
| epoch   1 | 28000/163125 batches | lr 0.05 | ms/batches 18.13 | loss  4.70 | ppl   109.65
| epoch   1 | 29000/163125 batches | lr 0.05 | ms/batches 17.42 | loss  4.69 | ppl   109.17
| epoch   1 | 30000/163125 batches | lr 0.05 | ms/batches 16.89 | loss  4.69 | ppl   109.04
| epoch   1 | 31000/163125 batches | lr 0.05 | ms/batches 17.58 | loss  4.69 | ppl   108.50
| epoch   1 | 32000/163125 batches | lr 0.05 | ms/batches 16.90 | loss  4.68 | ppl   108.28
| epoch   1 | 33000/163125 batches | lr 0.05 | ms/batches 16.95 | loss  4.68 | ppl   108.08
| epoch   1 | 34000/163125 batches | lr 0.05 | ms/batches 16.42 | loss  4.68 | ppl   107.72
| epoch   1 | 35000/163125 batches | lr 0.05 | ms/batches 17.20 | loss  4.68 | ppl   107.55
| epoch   1 | 36000/163125 batches | lr 0.05 | ms/batches 17.22 | loss  4.68 | ppl   107.32
| epoch   1 | 37000/163125 batches | lr 0.05 | ms/batches 16.65 | loss  4.67 | ppl   107.21
| epoch   1 | 38000/163125 batches | lr 0.05 | ms/batches 16.56 | loss  4.67 | ppl   106.83
| epoch   1 | 39000/163125 batches | lr 0.05 | ms/batches 16.98 | loss  4.67 | ppl   106.57
| epoch   1 | 40000/163125 batches | lr 0.05 | ms/batches 17.42 | loss  4.67 | ppl   106.23
| epoch   1 | 41000/163125 batches | lr 0.05 | ms/batches 16.40 | loss  4.66 | ppl   105.79
| epoch   1 | 42000/163125 batches | lr 0.05 | ms/batches 17.28 | loss  4.66 | ppl   105.59
| epoch   1 | 43000/163125 batches | lr 0.05 | ms/batches 18.72 | loss  4.66 | ppl   105.25
| epoch   1 | 44000/163125 batches | lr 0.05 | ms/batches 18.14 | loss  4.65 | ppl   104.99
| epoch   1 | 45000/163125 batches | lr 0.05 | ms/batches 18.93 | loss  4.65 | ppl   104.60
| epoch   1 | 46000/163125 batches | lr 0.05 | ms/batches 18.63 | loss  4.65 | ppl   104.25
| epoch   1 | 47000/163125 batches | lr 0.05 | ms/batches 16.91 | loss  4.64 | ppl   103.96
| epoch   1 | 48000/163125 batches | lr 0.05 | ms/batches 16.61 | loss  4.64 | ppl   103.65
| epoch   1 | 49000/163125 batches | lr 0.05 | ms/batches 17.60 | loss  4.64 | ppl   103.37
| epoch   1 | 50000/163125 batches | lr 0.05 | ms/batches 18.16 | loss  4.64 | ppl   103.14
| epoch   1 | 51000/163125 batches | lr 0.05 | ms/batches 16.62 | loss  4.63 | ppl   102.86
